Date	MSFT	VTI
2015-05-14	48.720001	109.809998
2015-05-15	48.299999	109.940002
2015-05-18	48.009997999999996	110.349998
2015-05-19	47.580002	110.300003
2015-05-20	47.580002	110.230003
2015-05-21	47.419998	110.510002
2015-05-22	46.900002	110.300003
2015-05-26	46.59	109.150002
2015-05-27	47.610001000000004	110.150002
2015-05-28	47.450001	110.050003
2015-05-29	46.860001000000004	109.309998
2015-06-01	47.23	109.58000200000001
2015-06-02	46.919998	109.5
2015-06-03	46.849998	109.879997
2015-06-04	46.360001000000004	109.0
2015-06-05	46.139998999999996	108.910004
2015-06-08	45.73	108.239998
2015-06-09	45.650002	108.150002
2015-06-10	46.610001000000004	109.449997
2015-06-11	46.439999	109.769997
2015-06-12	45.970001	109.059998
2015-06-15	45.48	108.57
2015-06-16	45.830002	109.160004
2015-06-17	45.970001	109.339996
2015-06-18	46.720001	110.43
2015-06-19	46.099998	109.889999
2015-06-22	46.23	110.610001
2015-06-23	45.91	110.720001
2015-06-24	45.639998999999996	109.879997
2015-06-25	45.650002	109.540001
2015-06-26	45.259997999999996	109.010002
2015-06-29	44.369999	106.690002
2015-06-30	44.150002	107.019997
2015-07-01	44.450001	107.720001
2015-07-02	44.400002	107.58000200000001
2015-07-06	44.389998999999996	107.300003
2015-07-07	44.299999	107.900002
2015-07-08	44.240002000000004	106.089996
2015-07-09	44.52	106.269997
2015-07-10	44.610001000000004	107.599998
2015-07-13	45.540001000000004	108.82
2015-07-14	45.619999	109.32
2015-07-15	45.759997999999996	109.190002
2015-07-16	46.66	109.940002
2015-07-17	46.619999	109.959999
2015-07-20	46.919998	109.940002
2015-07-21	47.279999	109.489998
2015-07-22	45.540001000000004	109.33000200000001
2015-07-23	46.110001000000004	108.699997
2015-07-24	45.939999	107.559998
2015-07-27	45.349998	106.849998
2015-07-28	45.34	108.120003
2015-07-29	46.290001000000004	108.839996
2015-07-30	46.880001	108.949997
2015-07-31	46.700001	108.839996
2015-08-03	46.810001	108.449997
2015-08-04	47.540001000000004	108.269997
2015-08-05	47.580002	108.639999
2015-08-06	46.619999	107.709999
2015-08-07	46.740002000000004	107.43
2015-08-10	47.330002	108.769997
2015-08-11	46.41	107.790001
2015-08-12	46.740002000000004	107.900002
2015-08-13	46.73	107.75
2015-08-14	47.0	108.160004
2015-08-17	47.32	108.849998
